id	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
ATP5B	5.69333	5.71725	5.5436	5.334	4.39901	5.52612	5.29109	5.61337	5.27314
TMEM66	5.60485	5.64261	5.41397	5.4066	4.9133	5.44893	5.44595	5.55506	5.32435
HSP90AA1	5.38589	5.28733	5.79698	5.17579	6.03341	5.2327	4.96366	5.28476	5.18496
ANK2	5.45159	5.42308	5.45868	5.36967	5.10551	5.39083	5.28393	5.48769	5.28432
SLC1A3	5.15209	5.17059	5.35921	5.37844	5.4153	5.55179	5.2577	5.47401	5.69088
MTCH1	5.36763	5.31118	5.47387	5.26266	5.08465	5.3434	5.35839	5.61607	5.23905
ACTG1	5.25556	5.49058	5.12966	5.44168	4.98938	5.62017	5.69636	5.56158	5.28543
RAB9B	5.8109	5.35764	5.71555	5.82359	5.03571	5.78253	5.65691	4.89809	5.51676
ALDOA	5.39191	5.55848	5.31359	5.17925	4.9106	5.37541	5.50447	5.55253	5.33525
DDX5	5.35085	5.38126	5.36223	5.43554	5.32146	5.4304	5.19169	5.25874	5.25318
ATP5A1	5.62612	5.66349	5.36505	5.28017	4.37322	5.45716	5.29613	5.54568	5.19834
AQP4	5.52293	5.33794	5.36036	5.7625	5.1561	5.77495	5.43713	5.60722	5.74058
KIF1A	5.18617	5.22562	5.32176	5.24485	5.50671	5.39127	5.52712	5.30462	5.42053
STXBP1	5.42796	5.52285	5.36621	5.21232	4.68326	5.45322	5.32297	5.48857	5.23042
SCARNA7	5.24002	5.33135	5.28035	5.54227	5.17199	5.5059	5.3914	5.21554	5.29077
RPLP2	5.23729	5.3612	5.28775	5.44398	5.66046	5.38898	5.35541	5.16968	5.10039
TMSL3	5.42114	5.69795	5.17353	5.49594	4.99281	5.31499	5.52421	5.3235	5.03487
ATP5E	5.60173	5.61968	5.51995	5.52954	5.3074	5.55935	4.83606	4.88364	4.77333
SPTBN1	5.16844	5.19418	5.24238	5.21374	5.53941	5.19788	5.24569	5.26943	5.28149
MAP2	5.35305	5.44434	5.35637	5.21182	4.69614	5.20214	5.22391	5.45249	5.23988
TF	5.88073	5.18531	5.55809	5.51061	4.96729	5.54327	5.42034	4.64302	5.47111
YWHAH	5.40543	5.28994	5.45601	5.2126	4.11193	5.25318	5.17542	5.47134	5.16889
EIF4G2	5.39394	5.33686	5.45701	5.24205	5.30382	5.23806	5.15296	5.33226	5.21888
DNM1	5.35017	5.34278	5.34208	5.09266	4.34721	5.20026	5.17229	5.40886	5.19007
ATRNL1	5.40836	5.34121	5.45661	4.8453	4.94385	5.33202	4.97404	5.60996	5.03421
ITM2C	4.96088	5.32504	4.92935	5.30694	4.95737	5.36778	5.63452	5.47689	5.34878
TMSB4X	5.35544	5.64593	5.12431	5.32723	4.92332	5.20512	5.30828	5.20292	4.77786
CNTN1	5.54788	5.39575	5.29114	5.31066	4.76406	5.25806	5.09263	5.34137	5.19232
RTN3	5.49561	5.43042	5.41971	5.18397	4.20801	5.27103	5.18535	5.42167	5.03893
PREPL	5.56407	5.56568	5.22571	5.0647	3.99844	5.32092	5.19402	5.47942	5.00287
FTL	4.86142	4.78758	4.84773	5.14018	6.35545	5.06592	5.25197	4.87212	5.11701
COX6B1	5.26831	5.27918	5.28844	5.28315	4.79058	5.38349	5.42287	5.19239	5.11994
CCNI	5.32248	5.35305	5.35557	5.07507	5.56107	5.1401	4.87016	5.30773	5.13592
ATP1A1	5.34022	5.49362	5.4389	5.04841	4.25809	5.20031	5.08637	5.45587	5.08128
EEF1A2	5.01492	5.03825	5.32929	5.10954	4.53807	5.15157	5.37908	5.28526	5.4096
YWHAE	5.39941	5.44211	5.30563	5.34619	4.74835	5.44517	5.12659	5.21587	5.00497
KLC1	5.2647	5.2728	5.25598	5.04236	4.89809	5.14339	5.08322	5.31134	5.08953
RPS6	5.15712	5.19467	5.13973	5.29832	5.4869	5.20823	5.32764	5.0467	5.17387
NRGN	4.70541	4.70916	5.0548	5.15669	4.86748	5.21248	5.31207	4.99544	5.22209
COX7C	5.49636	5.42482	5.27982	5.28468	4.55431	5.41998	5.08337	5.10286	4.92332
ENO2	5.32123	5.37325	5.16089	5.00738	3.97187	5.25817	5.28768	5.41918	5.11549
RPL35A	5.23805	5.37172	5.02681	5.23114	5.03789	5.21549	5.39068	5.13624	4.98676
COX7B	5.3606	5.30211	5.21024	5.30505	4.42343	5.28789	5.0048	5.12763	5.00394
FKBP8	4.88993	4.99544	5.04705	5.04686	5.11261	5.08043	5.39496	5.25297	5.25226
KIF5C	5.15908	5.0625	5.25707	5.16321	5.19667	5.08775	5.1646	5.09334	5.19542
DYNC1H1	5.21919	5.17765	5.24494	5.05354	4.77333	5.09207	5.09164	5.22049	5.04981
GDI1	5.12086	5.21753	5.14579	5.00344	4.66831	5.16904	5.15225	5.26093	5.07868
MAP1A	5.09043	5.05064	5.2099	4.97611	5.10172	5.13519	5.08041	5.11099	5.22618
NEFL	5.34498	5.45617	5.27663	4.72075	4.18929	5.20589	5.10828	5.28445	5.00843
ENO1	5.12885	5.37203	5.02123	4.98243	4.76078	4.98938	5.29547	5.21087	5.1356
NDUFS5	5.30917	5.26631	5.06706	5.2439	4.77027	5.1647	5.08046	5.03197	4.72797
THY1	5.07833	4.83305	5.28231	4.80903	4.66515	4.83305	4.9475	5.29794	4.99544
PTGDS	4.77027	5.03781	5.00015	5.19197	5.08961	5.15716	5.31208	4.53648	5.01897
PRNP	5.24661	5.25198	5.2303	5.08	4.66371	5.06466	5.04353	5.25874	4.9383
RPL36	5.03181	5.05076	4.99544	5.18896	5.42865	5.17689	5.1282	5.02016	4.9475
HIST1H4E	5.22147	5.38639	5.01444	5.06819	4.26201	5.19736	5.29045	5.37296	5.01408
OAZ1	5.09403	5.07606	5.00483	4.87968	4.90684	4.95416	5.11727	5.31766	5.13278
VIM	4.44751	5.04804	4.49415	4.66515	5.33728	5.06571	5.32887	5.19978	4.9133
NSF	5.4358	5.39202	5.31684	5.06109	3.7512	5.27716	4.81799	5.19881	4.71844
DDX17	5.08133	5.07243	5.03455	5.06445	5.04664	5.0005	5.06827	4.96088	5.08552
USMG5	5.46526	5.56327	5.13504	5.15351	4.20637	5.19985	4.85221	5.0887	4.67795
PEA15	4.9383	4.77559	5.16225	5.02597	5.49089	5.17117	5.02507	5.04549	5.03906
FTH1	4.90118	4.94385	4.87212	5.12186	5.39038	5.11223	5.30619	4.81799	5.04316
SERPINI1	5.38176	5.35025	5.17748	5.10133	3.51659	5.06676	5.02888	5.3105	4.83305
ARL6IP1	5.25485	5.38952	5.05219	4.9383	4.30648	5.06564	5.08217	5.27208	4.92935
PLEKHB1	4.85221	4.47817	5.05438	5.29871	5.55351	4.96729	5.26983	4.56951	5.39029
AP2M1	5.20025	5.21136	5.11381	4.83305	4.56183	5.0417	4.9211	5.25885	4.90118
NCKAP1	5.28713	5.26704	5.18831	4.9702	4.70916	4.96366	4.83305	5.22746	4.9211
PJA2	5.33658	5.39343	5.00948	4.95416	4.14894	5.08055	5.01179	5.26262	4.88724
NDRG4	5.10863	5.00486	4.95737	4.9211	4.40917	5.15707	5.19354	5.2403	5.08802
DST	4.83917	4.72075	4.94385	4.9475	5.29281	4.94385	4.80903	4.83917	4.95117
CLSTN1	5.09864	5.08945	5.13773	4.95737	4.62395	5.01162	4.94385	5.23704	4.97404
RPS21	4.89388	5.0521	5.13502	5.19093	4.80903	5.2434	5.19948	5.01309	4.86142
STMN2	5.35909	5.24349	5.22411	4.72538	3.71508	4.90684	4.77333	5.20176	4.84773
NDUFB8	5.05284	4.98243	4.96088	4.85533	4.58022	4.90378	5.20319	5.16963	5.02074
RPS19	4.91646	4.85912	5.0496	5.10772	5.71002	5.07312	4.99281	4.7415	4.81799
NAPB	5.33508	5.44023	5.15571	4.77959	3.56682	5.03217	4.82412	5.32971	4.71415
YWHAG	5.11705	5.05525	5.1218	4.87212	4.21549	5.00183	5.00519	5.22365	4.96366
S100B	5.08048	4.86142	5.06082	5.3454	5.35636	5.22987	5.33099	4.71415	5.15371
TUBA1B	5.22769	4.76406	5.20851	4.90684	4.63102	5.05868	4.8419	5.1594	4.90684
ANXA6	5.26001	5.20594	5.08095	4.78462	4.26395	4.97611	4.89388	5.18258	4.82412
TMOD2	5.23889	5.15223	5.03087	4.87016	4.55536	4.97986	4.92639	5.16267	4.97986
FAM171B	5.07825	4.98676	5.00662	5.11787	5.00839	5.06477	4.97986	4.83606	5.08086
PI4KA	4.97611	4.96366	5.09676	4.86748	4.66671	4.86142	4.87968	5.15439	4.95416
ATP6V0B	4.98676	4.92332	5.22175	4.87657	4.22144	4.95117	4.99544	5.23746	4.96729
CLTC	5.26322	5.25704	5.06036	4.92639	4.35453	5.03141	4.93211	5.1662	4.80334
GNAS	5.00964	5.03769	5.05283	4.81646	4.6855	5.03474	5.02101	5.19103	5.03483
CSDE1	5.14378	5.109	5.01449	5.00438	4.92639	4.98243	4.90378	5.03975	4.88364
BIN1	4.79058	4.67137	4.79259	5.05224	4.94123	4.98676	5.16122	4.76406	5.02538
PPP3CA	5.1032	5.18299	4.97611	4.88724	4.07055	5.06409	4.94123	5.24889	4.90378
EDF1	4.9133	4.97986	4.91646	4.94123	4.74322	4.89388	5.12719	5.03706	4.89388
RPL27	4.93536	5.08038	4.82743	4.96088	4.84961	4.9702	5.13437	5.0619	4.95737
RTN1	5.12174	5.12894	5.00839	4.9133	4.0071	5.00851	4.97611	5.17678	4.8139
SCG5	5.12495	5.0971	5.03279	4.97986	3.29042	5.07586	5.0445	5.12609	4.78758
NCDN	4.73939	4.82743	5.03864	4.78135	4.39334	4.96088	5.03122	5.20261	5.06071
SLC22A17	5.02512	5.07315	4.96729	4.76562	4.35913	4.88364	5.03195	5.26927	4.93211
FMNL2	4.83305	4.62247	5.04737	4.99544	5.20922	4.85221	4.84773	4.39424	4.98243
RPL8	4.87657	4.78462	4.9133	4.94385	5.13984	4.92935	5.03342	4.95416	4.80042
COX4I1	5.04511	4.97611	4.86748	4.90118	4.21973	4.97404	5.17158	5.15926	4.87373
ATP6V1E1	5.26753	5.30155	4.9702	4.97404	3.77686	5.22534	4.71844	4.97404	4.63279
RPS11	4.71177	4.79058	4.9106	5.05716	4.85912	4.87016	5.18134	4.94385	4.98938
PRDX1	5.03829	5.00585	4.98676	5.04176	4.62247	5.09832	5.02629	4.96366	4.9702
RP5_1033B10.18	4.8453	4.87968	4.81114	4.96729	4.98676	4.90118	5.01511	4.89388	4.8419
CANX	5.02496	5.1412	4.93211	4.98938	4.63554	4.99544	4.9702	4.87657	4.83917
GRIA2	5.01503	4.98938	4.83606	4.80042	4.32878	4.81646	4.74322	5.06223	4.83606
ATP5I	4.95737	4.90118	4.90378	5.06157	4.58705	4.88724	4.90118	4.80604	4.92639
RPS14	4.97404	5.04375	4.89809	5.00188	4.70541	4.84961	5.12876	5.05045	4.84961
ABCA2	4.73425	4.39788	4.99281	5.06703	4.98243	4.86484	5.01516	4.47817	5.03625
SOD1	5.09618	4.90684	5.03788	4.79738	4.61481	4.83917	4.9106	5.00728	4.78135
NRCAM	4.97986	4.95737	4.80334	4.92935	4.50676	4.92639	4.77786	5.0254	4.82743
BEX1	5.08072	5.12319	4.80604	4.66831	3.41685	4.86748	4.86484	5.06571	4.58022
NGRN	4.93211	4.86748	4.95117	4.66112	4.81114	4.87968	4.69392	5.03906	4.86484
ENC1	4.9475	5.04117	4.96366	4.61861	3.79402	4.54948	4.72538	5.16995	4.85912
hCG_18290	4.90684	4.87657	4.71844	4.84961	4.97986	4.91646	5.0452	4.76781	4.91646
NACA	5.0408	5.02614	4.9475	5.02744	4.76562	5.01656	4.80604	4.76078	4.63732
SCD	5.44961	4.83917	4.85912	5.23855	4.82743	5.19884	5.08466	4.22144	5.13088
BSG	4.50676	4.67386	4.80042	4.58705	4.76781	4.71415	5.09462	4.94123	4.99281
AKT3	4.96729	5.01054	4.87373	4.70729	4.79259	4.87657	4.76562	4.91646	4.73166
PFKP	4.80334	4.70112	5.03173	4.48849	4.6297	4.65922	4.82995	5.03331	4.93536
GNB1	4.77959	4.93536	4.90118	4.75809	4.93536	4.8453	4.81114	4.97986	4.81646
GABARAPL1	5.0566	4.9133	4.90684	4.6297	4.01176	4.9106	4.91646	5.02743	4.71611
RPS4X	5.12751	4.96088	4.79058	5.03064	4.87373	4.99281	4.95416	4.85533	4.68326
PRKAR1B	4.95416	5.05074	4.85221	4.55313	3.92998	4.81114	4.95117	5.20703	4.77559
SYT11	5.01091	4.99281	4.77959	4.87373	4.35639	4.95737	4.98676	4.97611	4.77959
ENPP2	5.24358	4.70729	5.17563	5.26235	4.60743	5.07754	5.07473	4.227	4.96088
GPRC5B	4.70112	4.54948	5.01758	4.93536	5.48359	4.77786	5.08822	4.45674	5.03734
NPTN	4.98243	5.00784	4.92332	4.78758	4.13221	4.80334	4.7415	4.99281	4.82173
NGFRAP1	4.96366	4.9702	4.78758	4.74322	4.04928	4.87212	4.9383	4.96729	4.69857
MGST3	4.99281	5.0821	4.76406	4.82743	4.1724	4.9383	4.9133	4.88724	4.74322
TSPAN3	4.9702	4.80604	4.93536	5.00095	4.49901	4.94123	4.78758	4.90118	4.80604
PTK2	4.69857	4.69857	4.72075	4.89809	4.84773	4.80903	4.89809	4.62247	4.81114
YWHAQ	5.1134	4.94123	4.9211	4.95117	4.42755	4.9475	4.86748	4.68116	4.74566
PICALM	4.84961	4.72797	4.9383	4.98676	5.06214	4.84773	4.75131	4.58705	4.79738
EDIL3	5.16289	4.9211	5.07166	5.1317	4.44751	5.13319	4.92332	4.48553	4.94385
GUK1	4.64302	4.61287	4.69857	4.6093	4.86484	4.73166	4.95737	4.86142	4.85533
QDPR	4.74566	4.3891	5.13337	4.80334	5.31348	4.78758	4.86142	4.48118	4.75626
SCARNA6	4.17066	4.72936	4.70916	4.84773	3.96246	5.08469	5.26186	4.69392	4.9106
GNB2L1	4.66112	4.80042	4.72797	4.83917	4.95416	4.79459	4.80042	4.82412	4.82995
TMEM144	5.2155	4.96729	4.88364	5.32673	4.39424	5.16687	5.06	4.57281	4.94123
MACF1	4.38656	4.33039	4.70393	4.69614	5.27985	4.66671	4.45958	4.55536	4.74835
NDUFA1	4.94385	4.9106	4.8453	4.79259	3.94267	4.92332	4.79459	4.87373	4.65087
TEGT	4.76406	4.80334	4.82995	4.90378	4.71177	4.89809	4.96729	4.77786	4.89809
BSCL2	4.88724	5.00172	4.8139	4.62395	4.27861	4.76078	4.73425	4.98938	4.65922
GAP43	4.8419	4.87373	4.75131	4.52296	4.04304	4.63554	4.77027	5.06394	4.73939
7-Sep	5.04046	4.9475	4.73939	5.02453	4.3508	5.06578	4.93536	4.6454	4.75809
USP11	4.82995	5.01143	4.74322	4.76781	4.19681	4.87373	4.81646	4.98243	4.66671
RAPGEF4	4.98938	4.75131	4.50293	4.68718	4.53934	4.67795	5.03563	4.93536	4.87016
CLDND1	4.86484	4.90378	5.05419	5.17393	4.70112	5.09007	4.96088	4.62867	4.87212
BCAS1	4.46165	4.08229	4.6093	5.04123	5.41036	4.74322	4.98243	3.96447	4.60016
DYNLRB1	4.66831	4.71177	4.89388	4.77786	4.49699	4.93536	4.76406	4.77559	4.68116
AHCYL1	4.58569	4.93211	4.60016	4.89388	4.97611	5.01175	4.85912	5.08873	4.87968
DYNLL1	4.62714	4.75809	4.97986	4.77333	4.42632	4.66831	4.79738	4.9702	4.69095
DNAJA1	4.74322	4.71415	5.04887	4.63554	5.08945	4.62867	4.44858	4.8139	4.6297
DKK3	4.69095	4.85533	4.7415	4.71177	4.77786	4.74566	4.6529	4.95117	4.76078
ARF5	4.76562	4.92639	4.68718	4.66371	4.06243	4.80604	4.87657	4.98676	4.66515
GABARAPL2	4.77559	4.95416	4.85533	4.91646	4.28703	4.9133	4.90684	4.74322	4.65632
SPAG9	4.75131	4.65632	4.86142	4.76406	4.83917	4.70393	4.65431	4.58988	4.76562
HTRA1	4.79459	4.67795	4.73166	4.99281	4.48253	4.73425	4.77559	4.45541	4.86748
TTLL7	4.72936	4.58172	4.87657	4.82412	4.90118	4.65632	4.66831	4.53807	4.76406
AARS	4.7227	4.57842	4.94123	4.53535	4.88993	4.68718	4.52911	4.92332	4.70393
HINT1	4.87212	4.87212	4.66112	4.66245	3.5925	4.79259	4.77959	4.9383	4.64302
FEZ1	4.87968	4.62714	4.88993	4.85221	4.75626	4.82743	4.83917	4.60583	4.79259
TOMM7	4.80042	4.87016	4.79738	4.76078	4.65431	4.88993	4.69614	4.61861	4.37702
HBB	4.43697	5.0198	4.82412	4.21468	3.15107	5.01789	4.82743	5.39512	5.11783
NELL2	4.92332	4.9383	4.75809	4.56714	3.51006	4.70541	4.58852	5.08967	4.53648
IFI6	3.90205	4.04247	4.22529	4.27552	3.62488	4.1399	4.53281	3.78183	3.91487
MAPK10	4.92935	4.91646	4.86484	4.58172	4.31928	4.61152	4.53934	4.9475	4.6093
UBC	4.90378	4.97404	4.80903	4.79058	4.32502	4.73709	4.6895	4.66112	4.56527
IL6ST	4.68326	4.76562	4.78462	4.92332	4.9475	4.82173	4.68326	4.58022	4.68718
TAGLN3	4.71844	4.68116	4.77786	4.48926	3.13398	4.5079	4.6855	5.0481	4.61861
RUNDC3A	4.4071	4.43851	4.69614	4.47652	4.77559	4.53934	4.73939	4.73939	4.79459
SORT1	4.82173	4.73709	4.98938	4.8139	4.60583	4.58172	4.56394	4.68718	4.72075
CALR	4.35639	4.49415	4.58172	4.45301	4.70393	4.67386	4.8453	4.93211	4.76781
CTSB	4.44858	4.88724	4.71177	4.60194	4.38366	4.66515	4.78462	4.90378	4.72936
HSP90B1	4.67592	4.84773	4.66831	4.54533	4.64302	4.69614	4.67137	4.77027	4.53807
DSTN	4.95117	5.0548	4.77027	4.62247	3.99361	4.80042	4.66245	4.84773	4.51554
CNP	4.8139	4.6454	4.74566	4.96366	4.54533	5.03829	5.09517	4.22529	4.7415
APBB1	4.72797	4.69095	4.81799	4.63732	4.47071	4.72797	4.71415	4.79058	4.72538
ATP5C1	4.92639	4.89388	4.64112	4.75131	4.05327	4.79738	4.60194	4.75131	4.4085
NDFIP1	5.03567	5.04391	4.6895	4.67795	3.55112	4.77559	4.70393	4.90684	4.48926
FAIM2	4.71415	4.6855	4.84961	4.66671	4.54731	4.7227	4.67795	4.87016	4.67592
ATP9A	4.6895	4.7227	4.77333	4.67137	4.53392	4.64719	4.67592	4.86484	4.70112
KIF5B	4.49574	4.39334	4.71415	4.74835	5.17852	4.69857	4.71611	4.41202	4.73425
SNHG6	4.73709	4.95117	4.58569	4.88993	4.44617	4.8139	4.87373	4.54288	4.52911
KIFAP3	4.88364	4.88364	4.82173	4.6529	4.02718	4.72075	4.61287	4.85221	4.57281
EIF1	4.70729	5.01802	4.83917	4.69095	4.96366	4.77333	4.58705	4.59625	4.43965
RPL35	4.65922	4.71844	4.44467	4.88364	4.90378	4.6895	4.73166	4.46386	4.49574
FREQ	4.33039	4.511	4.56183	4.43557	4.72797	4.61287	4.78135	4.78135	4.80903
SYP	4.79738	4.8139	4.57054	4.51554	3.16359	4.63732	4.70916	4.9211	4.46507
C14orf2	4.84773	5.01937	4.64302	4.56183	4.2851	4.6529	4.66515	4.72936	4.33848
NUDT3	4.63844	4.64112	4.68116	4.55884	4.54948	4.64302	4.61152	4.80042	4.75131
ACO2	4.59485	4.36866	4.79459	4.70916	4.82412	4.82995	4.56527	4.67795	4.69392
CHGA	4.46839	4.51876	4.88724	4.40054	4.28215	4.48676	4.62518	4.70916	4.7227
ATP8A1	4.99544	4.73166	4.74835	4.69857	4.227	4.78135	4.64719	4.62395	4.67137
GABARAP	4.60194	4.64302	4.63102	4.72936	4.65922	4.69095	4.84961	4.62714	4.61637
ISCU	4.77786	4.85221	4.75626	4.54157	4.33249	4.70112	4.62395	4.78462	4.48676
SNORA12	3.59658	4.41627	3.95275	4.44982	3.01509	4.57842	5.18832	4.38656	4.70916
