id	C1_rpkm	C2_rpkm	C3_rpkm	C4_rpkm	C5_rpkm	C6_rpkm	C7_rpkm	C8_rpkm	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
ATP1A3	5.70887	4.89809	5.58881	5.67955	4.05896	5.68078	5.79306	5.89877	5.64276	5.65313	5.64945	5.338	4.53083	5.63975	5.58797	5.73815	5.46338
FAM107A	5.45546	4.87657	5.71841	5.2362	6.29358	5.21204	4.97986	5.20384	4.77333	5.39276	5.22706	5.57699	6.1127	5.49148	5.66543	5.3187	5.64868
SNRPN	5.56755	5.01512	5.41189	5.71305	4.69392	5.67916	5.84002	5.71947	5.67465	5.63693	5.60454	5.37092	4.97404	5.48351	5.38633	5.72618	5.35699
APLP1	5.56202	5.27528	5.36002	5.59822	5.25369	5.00651	5.51287	5.50892	5.55443	5.44376	5.72275	5.64119	5.31887	5.65929	5.75115	5.39546	5.47529
PEBP1	5.54464	4.6297	5.33195	5.61859	4.86748	5.59396	5.7174	5.79334	5.71137	5.73257	5.4321	5.4148	4.91646	5.5382	5.64239	5.65993	5.36716
HSP90AB1	5.43574	4.48926	5.34399	5.6013	5.45198	5.63096	5.73978	5.59298	5.64538	5.60444	5.60821	5.30128	5.24426	5.4533	5.28787	5.58383	5.23964
TSPAN7	5.62101	4.42097	5.69034	5.53272	4.71611	5.5533	5.85103	5.71555	5.53614	5.57425	5.44859	5.45569	4.28989	5.59187	5.58044	5.55686	5.39276
CKB	5.53362	5.25899	5.57528	5.61805	5.42111	5.38679	5.45838	5.58011	5.38033	5.28215	5.48173	5.31053	5.22431	5.45518	5.63716	5.44015	5.55702
RTN4	5.55679	4.19438	5.24158	5.56057	4.82173	5.62718	5.84206	5.70997	5.7237	5.6924	5.60162	5.32066	4.65632	5.48546	5.42153	5.6173	5.28838
ITM2B	5.46922	3.75901	5.35677	5.29821	5.30728	5.7154	5.46942	5.57195	5.59294	5.68344	5.50531	5.62438	4.87212	5.57692	5.62745	5.46099	5.50294
IDS	5.56164	4.55711	5.58242	5.25326	4.96729	5.59065	5.6196	5.66666	5.42922	5.58817	5.33076	5.41631	5.16083	5.45527	5.53778	5.60729	5.44885
STMN1	5.41113	4.97611	5.47267	5.50598	4.6855	5.29274	5.80135	5.61127	5.64947	5.62848	5.48225	5.56179	4.63844	5.60639	5.47924	5.36127	5.33319
APOE	5.40002	5.17772	5.46604	5.16225	5.62199	5.56196	5.41052	5.46417	5.15111	5.16432	5.12963	5.60172	5.28833	5.67048	5.69961	5.02193	5.70017
ATP5B	5.42866	4.38065	5.28003	5.56539	4.72538	5.64799	5.75844	5.70879	5.69333	5.71725	5.5436	5.334	4.39901	5.52612	5.29109	5.61337	5.27314
TMEM66	5.5717	3.78541	5.33945	5.47779	4.97404	5.57589	5.61143	5.59857	5.60485	5.64261	5.41397	5.4066	4.9133	5.44893	5.44595	5.55506	5.32435
HSP90AA1	5.35946	4.70916	5.24223	5.60692	5.81314	5.40547	5.30855	5.22488	5.38589	5.28733	5.79698	5.17579	6.03341	5.2327	4.96366	5.28476	5.18496
ANK2	5.48696	5.28062	5.34763	5.51492	4.9133	5.43804	5.53139	5.54372	5.45159	5.42308	5.45868	5.36967	5.10551	5.39083	5.28393	5.48769	5.28432
SLC1A3	5.57298	4.11528	5.42039	5.25824	5.8528	5.72929	4.9702	5.0866	5.15209	5.17059	5.35921	5.37844	5.4153	5.55179	5.2577	5.47401	5.69088
MTCH1	5.32228	4.96366	5.15311	5.50491	4.79259	5.60037	5.75223	5.67755	5.36763	5.31118	5.47387	5.26266	5.08465	5.3434	5.35839	5.61607	5.23905
ACTG1	5.24266	4.81646	5.36002	5.24443	5.06208	5.60107	5.4722	5.52663	5.25556	5.49058	5.12966	5.44168	4.98938	5.62017	5.69636	5.56158	5.28543
RAB9B	5.59133	4.48676	4.75809	5.33305	5.51924	3.86018	5.08746	5.07425	5.8109	5.35764	5.71555	5.82359	5.03571	5.78253	5.65691	4.89809	5.51676
ALDOA	5.46618	4.64916	5.34979	5.45307	4.74322	5.58168	5.55861	5.6018	5.39191	5.55848	5.31359	5.17925	4.9106	5.37541	5.50447	5.55253	5.33525
DDX5	5.33866	5.68185	5.31011	5.36955	5.50464	5.3082	5.10743	5.18679	5.35085	5.38126	5.36223	5.43554	5.32146	5.4304	5.19169	5.25874	5.25318
ATP5A1	5.40194	4.26817	5.21654	5.52551	4.70112	5.47808	5.70548	5.66705	5.62612	5.66349	5.36505	5.28017	4.37322	5.45716	5.29613	5.54568	5.19834
AQP4	5.40951	3.02293	5.30125	4.77959	5.20806	5.49325	4.95416	4.96366	5.52293	5.33794	5.36036	5.7625	5.1561	5.77495	5.43713	5.60722	5.74058
KIF1A	5.25919	5.44133	5.54625	5.43638	5.19447	5.02599	5.24846	5.41643	5.18617	5.22562	5.32176	5.24485	5.50671	5.39127	5.52712	5.30462	5.42053
STXBP1	5.59055	5.04088	5.54978	5.49066	4.15494	5.28686	5.49804	5.55163	5.42796	5.52285	5.36621	5.21232	4.68326	5.45322	5.32297	5.48857	5.23042
SCARNA7	5.4392	5.23964	5.06532	5.55396	5.33864	5.51643	5.13847	5.03781	5.24002	5.33135	5.28035	5.54227	5.17199	5.5059	5.3914	5.21554	5.29077
RPLP2	5.41301	5.05124	5.24792	5.29466	5.72697	5.26009	5.12068	5.0611	5.23729	5.3612	5.28775	5.44398	5.66046	5.38898	5.35541	5.16968	5.10039
TMSL3	5.31748	4.68116	5.09691	5.13548	5.5086	5.74782	5.20363	5.29079	5.42114	5.69795	5.17353	5.49594	4.99281	5.31499	5.52421	5.3235	5.03487
ATP5E	5.53892	4.58988	5.28973	5.64539	5.43069	5.29112	5.04524	5.00288	5.60173	5.61968	5.51995	5.52954	5.3074	5.55935	4.83606	4.88364	4.77333
SPTBN1	5.16957	5.62054	5.31063	5.2806	5.54283	5.0635	5.33642	5.35058	5.16844	5.19418	5.24238	5.21374	5.53941	5.19788	5.24569	5.26943	5.28149
MAP2	5.41638	4.91646	5.40614	5.36439	4.3182	5.6389	5.57555	5.61435	5.35305	5.44434	5.35637	5.21182	4.69614	5.20214	5.22391	5.45249	5.23988
TF	5.3411	5.43943	4.6454	5.5837	5.12413	4.74566	5.23833	4.67795	5.88073	5.18531	5.55809	5.51061	4.96729	5.54327	5.42034	4.64302	5.47111
YWHAH	5.35666	4.47993	5.22322	5.32148	3.89326	5.73832	5.64018	5.65316	5.40543	5.28994	5.45601	5.2126	4.11193	5.25318	5.17542	5.47134	5.16889
EIF4G2	5.25381	4.31631	5.11255	5.32367	5.36883	5.33776	5.43702	5.19052	5.39394	5.33686	5.45701	5.24205	5.30382	5.23806	5.15296	5.33226	5.21888
DNM1	5.41625	5.31416	5.32564	5.52231	3.73831	5.3253	5.49395	5.54005	5.35017	5.34278	5.34208	5.09266	4.34721	5.20026	5.17229	5.40886	5.19007
ATRNL1	5.21901	3.99256	5.3133	5.40403	4.38656	5.4804	5.69819	5.4351	5.40836	5.34121	5.45661	4.8453	4.94385	5.33202	4.97404	5.60996	5.03421
ITM2C	5.32023	4.53535	5.21453	4.95117	5.38337	5.38515	5.20585	5.29654	4.96088	5.32504	4.92935	5.30694	4.95737	5.36778	5.63452	5.47689	5.34878
TMSB4X	5.28498	4.07779	4.82743	4.94385	5.40573	5.93381	5.2988	5.29589	5.35544	5.64593	5.12431	5.32723	4.92332	5.20512	5.30828	5.20292	4.77786
CNTN1	5.27622	3.93921	5.23339	5.39559	4.85533	5.13314	5.47723	5.52345	5.54788	5.39575	5.29114	5.31066	4.76406	5.25806	5.09263	5.34137	5.19232
RTN3	5.33622	3.6665	5.10474	5.21127	4.39788	5.54616	5.61345	5.60713	5.49561	5.43042	5.41971	5.18397	4.20801	5.27103	5.18535	5.42167	5.03893
PREPL	5.40198	4.24117	5.16749	5.40773	4.03172	5.39375	5.54237	5.52547	5.56407	5.56568	5.22571	5.0647	3.99844	5.32092	5.19402	5.47942	5.00287
FTL	4.99281	4.67592	5.18982	4.96088	5.56142	5.69076	4.76078	4.84773	4.86142	4.78758	4.84773	5.14018	6.35545	5.06592	5.25197	4.87212	5.11701
COX6B1	5.24333	4.48849	5.2418	5.43046	4.6895	5.37197	5.4273	5.34133	5.26831	5.27918	5.28844	5.28315	4.79058	5.38349	5.42287	5.19239	5.11994
CCNI	5.07059	4.13221	5.15077	5.32654	5.28249	5.20278	5.3576	5.17994	5.32248	5.35305	5.35557	5.07507	5.56107	5.1401	4.87016	5.30773	5.13592
ATP1A1	5.18941	4.1167	5.09923	5.37014	4.40587	5.44087	5.45868	5.54011	5.34022	5.49362	5.4389	5.04841	4.25809	5.20031	5.08637	5.45587	5.08128
EEF1A2	5.2656	4.93211	5.39119	5.4027	4.10307	5.26716	5.35704	5.48532	5.01492	5.03825	5.32929	5.10954	4.53807	5.15157	5.37908	5.28526	5.4096
YWHAE	5.29932	4.3374	5.26396	5.34471	4.95117	4.96729	5.28026	5.20193	5.39941	5.44211	5.30563	5.34619	4.74835	5.44517	5.12659	5.21587	5.00497
KLC1	5.2429	5.11301	5.17474	5.35627	4.68326	5.22719	5.34962	5.36407	5.2647	5.2728	5.25598	5.04236	4.89809	5.14339	5.08322	5.31134	5.08953
RPS6	5.15622	4.47167	5.143	5.25151	5.63559	4.9106	4.99281	4.99281	5.15712	5.19467	5.13973	5.29832	5.4869	5.20823	5.32764	5.0467	5.17387
NRGN	5.03243	5.90537	5.58662	5.0469	4.52911	4.95416	5.38244	5.30301	4.70541	4.70916	5.0548	5.15669	4.86748	5.21248	5.31207	4.99544	5.22209
COX7C	5.29978	3.68237	5.10213	5.31226	4.97611	5.44436	5.28823	5.07685	5.49636	5.42482	5.27982	5.28468	4.55431	5.41998	5.08337	5.10286	4.92332
ENO2	5.21022	4.69095	5.20199	5.16217	3.86829	5.40777	5.4854	5.50969	5.32123	5.37325	5.16089	5.00738	3.97187	5.25817	5.28768	5.41918	5.11549
RPL35A	5.19381	3.86365	5.17118	5.41866	5.27931	4.99544	5.28457	5.1269	5.23805	5.37172	5.02681	5.23114	5.03789	5.21549	5.39068	5.13624	4.98676
COX7B	5.48911	4.06895	5.12789	5.47673	4.64916	5.33105	5.19177	5.27453	5.3606	5.30211	5.21024	5.30505	4.42343	5.28789	5.0048	5.12763	5.00394
FKBP8	5.02582	4.99544	5.22909	5.22296	4.92332	5.24062	5.271	5.30776	4.88993	4.99544	5.04705	5.04686	5.11261	5.08043	5.39496	5.25297	5.25226
KIF5C	5.20237	4.6855	5.23585	5.15018	5.06396	5.08119	5.30686	5.2149	5.15908	5.0625	5.25707	5.16321	5.19667	5.08775	5.1646	5.09334	5.19542
DYNC1H1	5.15211	5.01626	5.09366	5.18596	4.82412	5.19891	5.28341	5.22398	5.21919	5.17765	5.24494	5.05354	4.77333	5.09207	5.09164	5.22049	5.04981
GDI1	5.1793	4.98676	5.13781	5.23094	4.4434	5.19521	5.34196	5.32658	5.12086	5.21753	5.14579	5.00344	4.66831	5.16904	5.15225	5.26093	5.07868
MAP1A	5.17784	4.88724	5.29016	5.17626	4.6529	5.13042	5.16289	5.28886	5.09043	5.05064	5.2099	4.97611	5.10172	5.13519	5.08041	5.11099	5.22618
NEFL	5.10034	4.83606	5.15171	5.19017	3.25645	5.27886	5.4015	5.42546	5.34498	5.45617	5.27663	4.72075	4.18929	5.20589	5.10828	5.28445	5.00843
ENO1	5.29629	4.15651	4.96366	5.09976	4.87968	5.48373	5.22511	5.16761	5.12885	5.37203	5.02123	4.98243	4.76078	4.98938	5.29547	5.21087	5.1356
NDUFS5	5.25825	4.80903	5.23036	5.36959	4.7227	5.22244	5.13792	5.1134	5.30917	5.26631	5.06706	5.2439	4.77027	5.1647	5.08046	5.03197	4.72797
THY1	5.17353	4.26395	5.12127	5.34847	3.97632	5.62831	5.65112	5.41325	5.07833	4.83305	5.28231	4.80903	4.66515	4.83305	4.9475	5.29794	4.99544
PTGDS	4.77559	5.59876	5.06964	4.72936	5.84724	4.85221	4.74566	4.78758	4.77027	5.03781	5.00015	5.19197	5.08961	5.15716	5.31208	4.53648	5.01897
PRNP	5.2558	3.59066	4.98243	5.10442	4.43697	5.67222	5.25587	5.29038	5.24661	5.25198	5.2303	5.08	4.66371	5.06466	5.04353	5.25874	4.9383
RPL36	5.05457	4.01374	5.26869	5.41237	5.26808	4.9475	4.98938	4.9383	5.03181	5.05076	4.99544	5.18896	5.42865	5.17689	5.1282	5.02016	4.9475
HIST1H4E	5.09474	4.28215	4.89809	5.46006	4.20887	5.26784	5.33093	5.07237	5.22147	5.38639	5.01444	5.06819	4.26201	5.19736	5.29045	5.37296	5.01408
OAZ1	4.98938	4.27143	4.9702	5.17997	4.83305	5.55513	5.36306	5.25816	5.09403	5.07606	5.00483	4.87968	4.90684	4.95416	5.11727	5.31766	5.13278
VIM	4.66515	4.14552	4.80334	4.43557	5.89933	6.23757	4.25738	4.22776	4.44751	5.04804	4.49415	4.66515	5.33728	5.06571	5.32887	5.19978	4.9133
NSF	5.24079	4.47071	4.94123	5.26936	3.22492	4.81799	5.61138	5.37408	5.4358	5.39202	5.31684	5.06109	3.7512	5.27716	4.81799	5.19881	4.71844
DDX17	5.11002	5.39962	5.00298	5.12093	5.25598	4.94385	4.87016	4.77027	5.08133	5.07243	5.03455	5.06445	5.04664	5.0005	5.06827	4.96088	5.08552
USMG5	5.19812	3.55417	4.89388	5.53544	4.44751	5.08374	5.27498	5.09214	5.46526	5.56327	5.13504	5.15351	4.20637	5.19985	4.85221	5.0887	4.67795
PEA15	4.97986	4.18233	5.12938	5.08891	5.12915	5.22271	5.03661	5.03226	4.9383	4.77559	5.16225	5.02597	5.49089	5.17117	5.02507	5.04549	5.03906
FTH1	4.96088	4.28153	4.95416	4.94123	5.37392	5.44459	4.88724	4.98938	4.90118	4.94385	4.87212	5.12186	5.39038	5.11223	5.30619	4.81799	5.04316
SERPINI1	4.92935	3.27308	4.91646	5.20264	3.61356	5.37634	5.55733	5.43362	5.38176	5.35025	5.17748	5.10133	3.51659	5.06676	5.02888	5.3105	4.83305
ARL6IP1	5.159	3.66007	5.0167	5.02896	4.53535	5.36957	5.32438	5.3532	5.25485	5.38952	5.05219	4.9383	4.30648	5.06564	5.08217	5.27208	4.92935
PLEKHB1	4.79738	4.87373	4.81799	5.02179	5.74564	4.10721	4.82173	4.77786	4.85221	4.47817	5.05438	5.29871	5.55351	4.96729	5.26983	4.56951	5.39029
AP2M1	5.16219	4.43295	4.90378	5.16979	4.44467	5.2394	5.39883	5.40439	5.20025	5.21136	5.11381	4.83305	4.56183	5.0417	4.9211	5.25885	4.90118
NCKAP1	5.08345	3.95179	4.87212	5.12184	4.77959	5.22575	5.33602	5.28529	5.28713	5.26704	5.18831	4.9702	4.70916	4.96366	4.83305	5.22746	4.9211
PJA2	5.12539	4.00929	4.87968	5.00209	4.42922	5.27209	5.38094	5.31628	5.33658	5.39343	5.00948	4.95416	4.14894	5.08055	5.01179	5.26262	4.88724
NDRG4	5.0004	4.71177	5.07468	5.10791	4.09067	5.07293	5.37087	5.40795	5.10863	5.00486	4.95737	4.9211	4.40917	5.15707	5.19354	5.2403	5.08802
DST	4.9475	5.95911	4.82412	4.92935	5.45438	4.45301	4.59089	4.61637	4.83917	4.72075	4.94385	4.9475	5.29281	4.94385	4.80903	4.83917	4.95117
CLSTN1	5.12862	4.28989	5.07089	5.2448	4.24901	5.19451	5.26543	5.30466	5.09864	5.08945	5.13773	4.95737	4.62395	5.01162	4.94385	5.23704	4.97404
RPS21	5.01647	3.67067	5.15649	5.20638	5.12319	5.04117	5.13267	4.88993	4.89388	5.0521	5.13502	5.19093	4.80903	5.2434	5.19948	5.01309	4.86142
STMN2	4.96366	4.46386	4.97404	5.26642	3.08386	5.38899	5.40897	5.45104	5.35909	5.24349	5.22411	4.72538	3.71508	4.90684	4.77333	5.20176	4.84773
NDUFB8	5.00293	4.42632	4.99281	5.18358	4.63102	5.35022	5.30678	5.23647	5.05284	4.98243	4.96088	4.85533	4.58022	4.90378	5.20319	5.16963	5.02074
