id	C3_raw	C4_raw	C7_raw	C8_raw	A9_raw	A10_raw	A11_raw	A12_raw	A14_raw	A15_raw
ACADL	79	78	139	130	119	131	122	169	180	135
ACADM	1111.946009	1743.727348	2368.119494	1385.666507	1409.110654	1138.979762	1610.039815	1929.760214	2163	1484.616611
ACADS	155	311	334	283.6454711	196	157	184	265	284	356
ACADSB	972	1351	2433.594366	1931.775634	1580.610906	1547.898066	1201	2062.576774	2287.023029	1728.96534
ACADVL	2657.916329	5433.000601	4364.038671	3067.742343	2044.452911	2163.630274	3666.148318	3507.242619	3359.427047	3515.100893
ACAT1	919	1941.124683	2400	1612.157446	1596.078732	1353	1620	1866	2113	1487.116112
ACAT2	502	1319	2124.078646	1114	1394	1026	1033	1105.988372	1361	1185
ACCN1	345	643	874	628	458	386	457	483	408	517
ACCN2	434	795	941	658	453	372	701	675	832	568
ACHE	252	411	510	429	270	250	380	216.9534884	290	382
ACLY	2025	4581.392132	6042.492649	4045.233155	3484	2808.979574	4010.211649	3573.43801	4576.450193	3326.592815
ACO1	981	1653	1607.930243	1038.967102	970	845.9606019	1310	1445	1620.980372	1295
ACR	5	7	1	14	2	6	10	1	5	5
ACO2	5105	9356	10488	7555	5740	4173	7549.278269	7811	9661	6499
ACOX1	1887	3041.125994	4108.984024	3243	2743.943981	2418.860827	3028	3558.910995	3802.019737	3225.024755
ACP1	470.919705	996.9731298	1650.089988	1034.967564	788	821.9527319	719.0678373	809	1004	910
ACP2	378.7522136	503.0404285	924.8864507	660	435	506.0275523	429	592.8911022	697	609.0632863
ACP5	17	35	20	16	19	18	21	23	33	38
ACPP	7	9	10	22	23.00546093	36	13	26	43	28
ACRV1	7	8	27	12	9	5	6	11	23	12
ACTA1	10	14	45	9	10	12	15	28	28	10
ACTA2	368	379	608	523	255	373	356	409	929	473
ACTB	12609	22216	30006.86188	22046.84371	15958	17620.72549	18465.31251	24253.66827	27815.69615	27133
ACTC1	39	65	105	69	70	65	56	58	81	44
ACTG1	6741	10897	17714	12370	8205	9479	8285	12461	16263	15351
ACTG2	3	5	10	15	0	19	6	9	40	7
ACTN4	3140.707592	6076.135076	5498.224431	3454.291535	3086.442046	2830.014771	4711	4174.195034	5780.704545	5286.205357
ACTL6A	217	436	351	216	369	204	462	423	420	357
ACTN1	2912	5378.032988	4962.614996	3642.880631	2470.097376	2492.005014	4470.03539	3535.423046	4157.279784	3732.042429
ACTN2	1268	2405	2832.522523	1825	1539.11737	953.5789474	1708	1837.708333	1904	1690
ACTN3	18	30	21	24	21	17	26	33	27	15
ACVR1	278	470	630	338	399	259	506	466	715	399
ACVR1B	863	1484	2374.853285	1713	1086	1078	1413	1366.107025	1725	1365
ACVR2A	784	1463	2275	1409	1126	1052	1309	1499	1543	1488
ACVR2B	828	1230	1676	1010	984	929	1207	1362	1350	1150
ACVRL1	229	293	218	153	142	206	289	405	463	380
ACY1	173	235.0248334	261.7803066	229	240.0083458	180.283806	174	266	399.8677765	291.2859217
ACYP1	119	303	342	173	203	156	216	191	242	260
ACYP2	308	770	917	660	531	546	649	650	783	592
ADA	68	250.4242564	145	59	69	58	201	186.011095	158	120.707694
ADAM8	88	75	85	79.48337683	46	53	98	113	105	123
ADAM10	2104	3483.131046	4524.650602	3143.107995	3214	2628.075743	3891	4277.271543	4185.989071	3456.946358
ADAR	5458	10072	14244	9444	7501	7181	8391	8849	10140	9004
ADARB1	1248	1865	2235	1491	1190.003005	1245.001062	1671	1475.004376	1742	1267
ADARB2	344	788	678	598	666	381	629	1051	631	727
ADCY1	8103	12423	18457	13446	9567	8821	9770	9622	11959	10466
ADCY2	3990.678476	6263	9837.959251	6034.198355	4684	4730.054183	5302.146685	6908.131039	6346	5514.066876
ADCY3	1491	2461	2722	2343.86357	1643	1548	2363	2065	2433	1912.155775
ADCY5	1855	3224	3527	2591	1851	1706	2661	2919	3407	3064
ADCY6	1006	1344	1398	946	752	684	1168	1042	1163.05065	1032
ADCY7	312	616	724	631	758	454	652	701	570	874
ADCY8	399	649	973	661	621	643	665	685	704	705
ADCY9	1000	1531	1654	1101.0202	890.0447114	916	1191	986	1243.015321	1292
ADCYAP1	260	279	479	337	283	370	220	189	192	347
ADCYAP1R1	1380	2176	2940	2031.013657	1522	1768.009201	1893.800428	2332	2290	2678.791312
ADD1	5659.341215	10256.99251	11409.52729	9014.575756	6700.098863	7566.701921	8475.059173	10657.01461	12198.35192	9504.708427
ADD2	3448	5972	7621	5812	3863	3883	4612	4845	5645	4613
ADD3	7385.331632	10683.90777	12393.86872	9325.743004	8960.059305	7662.105278	9336.340634	14513.53274	14561.63168	13288.70817
ADFP	127	419	181	187	142	197	243	346	226	223
ADH1A	0	3	6	4	2	3	4	6	11	8
ADH1B	41	91	18	70	29	63	59	67	51	29.33643065
ADH1C	25	38	6	13	14	8	26	10	14	6
ADH4	5	3	11	3	3	3	2	8	4	11
ADH5	637	1031	1695	1078	948	987	1030	1219	1199	1212
ADH6	4	14	3	0	9	3	4	14	13	12
ADH7	0	0	0	0	0	0	0	0	2	0
ADK	495	1112	1360	814	900	890	891	1083	1215	815
ADM	27	212	51	41	110	99	90	79	50	110
ADORA1	414	819	1337	642.4347826	618	399	779	768	932	847.1057802
ADORA2A	67	127	92	48	53	54	125	66	81	84
ADORA2B	97	89	131	103	59	91	85	140	228	123
ADORA3	119	352	107	409	348	291	338	586	326	376
ADPRH	27	58	33	41	28	45	53	64	77	56
PARP1	2489	5477	6439	3839	3775	3346	4959	4815	5306	4172
PARP4	672	1464	1293	856	1149	1043	1404	2023	2005	1544
ADRA1D	16	25	25	25	18	24	20	24	22	22
ADRA1B	116	159	311	133	91	120	140	138	110	198
ADRA1A	144	220	295	186	164	164	248	287	177	225
ADRA2A	67	133	327	118	89	64	94	127	101	116
ADRA2B	9	13	11	11	6	18	30	23	10	19
ADRA2C	22	59	95	44	26	38	60	62	64	59
ADRB1	203	308	466	323	188	219	232	251	344	274
ADRB2	79	88	78	71	61	55	130	144	91	129
ADRB3	2	7	3	7	4	2	4	5	8	11
ADRBK1	2345.05912	3911.357573	5138.936025	3727.7881	2403.09197	2090	3056.458334	3150.184598	3501.544186	3987.951536
ADRBK2	2979	5226	8036.832766	5244.64561	4535.632619	3663.011814	4678	4264	4655.504477	3532.863232
ADSL	330	693.764115	922.8423341	550.8447646	437.9574468	537.5933114	627	643.9042367	620	580.7481467
ADSS	984	2274	2740	1807	2281	1778	1683	2602	2411	1644
AP2A1	2973	5322	6964	5437	3281	3018	4045	4160	4949	4841
AP2A2	2719	5398.326642	7121.378135	4779.313374	3334.109211	2863	4028.329215	3563.228222	4444.019694	4129
AP1B1	1510	2967	3655	2672	1888	1767	2293	2377	2804	2313
AP2B1	5574	10808	14914	8834	8261.007768	7429	9428	9024.003163	10436	7859
AP1G1	2257	5369.960205	6553.942093	3772.888963	3825.978338	3588	4412.120657	4642.456323	4643.976819	3713.841375
AEBP1	671	571	1794	632	919	623	1151	729	1140	1273
AES	4526	8713	13140	8060	5031	5197	6215	6418	7344	7942
AFG3L1	370	473	435	412	270	325	433	617	484	493
AFP	1	8	12	10	7	10	5	6	5	11
AGA	183.7337793	270.0443753	444.6904421	425.6194648	300	242	187	565	482.6984277	592.1851553
ACAN	28	116	101	80	41	63	127	114	80	66
AGER	37	56	72	53	41	40	49	60	59	62
AGL	1878	2869	4215	2767	2508	2572	2169	3307	3726	3343
AGRP	13	30	19	3	12	10	18	12	19	25
JAG1	533	744	938.6477973	515.0235796	440.9285714	494	734.9354839	650	1046.905002	658
AGT	1704	2675.995699	4046.131864	3328.961724	2530	3152.210248	2582	4378	6059.46798	4595.194704
AGTR1	1	1	5	1	2	9	4	4	3	1
AGTR2	0	1	0	0	1	0	0	0	0	0
APLNR	201	642	594	594	683	472	352	1432	1196	1348
NR0B1	6	3	14	7	5	6	8	7	7	14
AHCY	465	1023	1251	850	581	586	872	726	961	821
AHR	417	1127	1446	934	1086	691	892	1316	1887	1109
AHSG	2	2	3	2	0	2	1	1	2	8
AIF1	20	43	24	33	37	73	64	91	88	90
AIM1	159	207	151	146	124	138	176	276	276	209
AK1	529	1002	1335	915	684	693	701	839	889	1034
AK2	422	749	777	506	572	509	625	913	845	683.5134732
AK3L1	175	306	383	257	172	212	303	282	284	324
AKT1	1287	2247	2662	2013	1246	1275	1728	1995	2287	1987
AKT2	1330.134248	1881	1853.585963	1172.019473	1006	777.9518714	1425.074896	1777.007143	1595.046994	1818.995423
ALAD	859.8867345	1626.836945	2030.940932	1332.906631	1250.876061	1090.990115	1477.995546	1495.881349	1838.961713	2115.838556
ALAS1	664	1683.205145	1981	1240	1160	898.0579608	1223	1172.030156	1570.095326	1098.087078
ALAS2	21	24	26	26	21	15	77	15	67	17
ALB	19	11	49	107.7106336	36	43	9	40	69	54
ALCAM	2325.491455	6597.676234	6813.044685	4180.857706	5950.109788	4006.557951	6521.094734	6650.010648	6162.211404	5535.75811
ABCD1	64	113	83	76	48	64	96	147	107	73
ALDH1A1	855	1240.97202	2073.978897	1285.209685	1178	743	871.9895833	2031.994048	1689.980583	1180
ALDH2	3012.34862	4868.079152	5299	4434.376189	2731.032121	2554.662634	4248.075446	4119	4854.37416	4448.127127
ALDH3A1	8	18	10	5	6	4	6	4	9	24
ALDH1B1	96	220	357	195	163	132	197	227	223	170
ALDH1A3	297	502	913	509	436.0129796	491.0078239	468	320	652	476
ALDH3B1	42	60	54	68	51	50	52	68	92	109
ALDH3B2	0	1	2	2	2	2	6	1	1	2
ALDH9A1	1072	1565.053875	2569	1747.501973	1419	1271	1518	2095.251906	2707	2177.848735
ALDH3A2	1143.981481	2888.988131	2390	1390.027497	1943	1407.109871	2663.107482	2301.004394	2172.103761	2090.817584
ABCD2	413	608	1475	862	709	534	659	808	944	701
ALDOA	9640.093392	19416.61294	27913.67306	19273.57803	13595.98236	14661.96191	14402.28307	13830.4056	18377.65678	18294.08458
ALDOB	40	60	50	94	54	55	92	60	54	52
ALDOC	10233.4995	17138.30243	22464.57802	17499.42817	13164.23738	12879.70459	13613.48986	13480.55975	19573.66427	19484.15349
AKR1B1	446.0912633	1103.89968	1375	916.9548444	748.8024552	663.0482774	1040.423503	1053.963776	1082.989796	895
ALK	252	437	584	378	296	295	433	333	422	412
ALOX12	112	148	119	65	89	113	152	171	130	93
ALOX5	106	219	80	195	101	129	172	354	292	283
ALOX5AP	47	177	75	102	86	128	236	327	175	107
ALOX12B	21.00208134	27	42	61	47	35	17	26	46	30
ANXA8L2	0	4	0	0	0	2	0	0	2	6
ALOX12P2	360	649	500	279	379	271	510	447	448	344
ALOX15	8	9	3	9	6	3	19	7	18	11
ALOX15B	26	83	22	89	14	37	93	70	15	31
ALPL	255	436	368.0348915	225.3385028	115	178	321	387	408.974359	348
ALPP	1	2	2	1	0	5	0	1	0	1
ALPPL2	2	2	3	4	0	4	0	4	6	4
ALX3	46	61	57	41	49	40	61	47	67	49
AMBN	0	3	0	0	1	3	0	1	0	0
AMBP	0	7	5	6	1	2	5	9	3	4
AMD1	1856	4647.949673	5681.47613	3836.866567	4358.977827	3425	4818.956084	5075.003062	4875.102634	3890.774723
AMELX	1	0	3	0	3	2	3	3	7	1
AMFR	2176	4849	7003	5052	3522	3464.197453	4539	4458.25887	5033.555172	4288
AMH	44	42	29	19	3	16	44	67	52	54
AMPD2	1561.06392	3147.951654	3211.943677	2332.136298	1664.066334	1546.214796	2347.083225	2164.942405	2735.060724	2371
AMPD3	578	986	1297	647	794	744	622.9487179	964	948.0769231	1018.07089
AMPH	3868	8213.461978	8617.970703	7531.912122	5344	4861.079612	6279	5113	6561.00002	5145.000006
BIN1	3626.955183	8032.038173	8101.305196	5681.240203	5520.006426	4394.001122	5832.09932	8512.67996	8671.783447	9062.267803
AMT	322	370	336	292	179	244	230.0032595	281	389	332
AMY1A	685	861	1156	669	633	774	515	934	912	874
AMY1B	8	9	32	16	13	17	7	20	20	15
AMY1C	241	320	639.0404128	338	285	335	157.968254	382	363	420
AMY2A	110	131	273	110	140	117	77	184	171	145
AMY2B	926	1114	2107	1281	1232	1222	1069	1451	1499	1632
ANG	17	24	29.00015832	15	26.05033249	31.18152375	18.43106789	38	34.00023744	45.04260568
ANGPT1	76	125	163	111.4039959	129	122	177	341	225.0136424	223
ANGPT2	198	593	261	171	203	172	385	371	357	166
ANK1	927	1616.116956	1766	1255	830	1075	1264	1055	1823	1084
ANK2	24649.91567	52944.44377	69602.62854	46592.78156	36992.83587	32795.927	42697.95459	42917.5418	47828.88024	37563.75933
ANK3	10812.12705	22191.39881	27560.45077	15937.96648	16840.25344	12918.23958	18397.10314	21108.43663	22203.50408	16521.50361
ANPEP	48	62	20	18	11	37	90	59	25	47
SLC25A4	913	2621	3542	2301	1833	1632	2094	1517	1991	1736
SLC25A5	740	1638	2066	1400.996357	1176.992661	953.2880322	1429	1334.495078	1694	1242
SLC25A6	0	9	5	4	1	0	4	2	4	36
ANXA1	330	490	714	290	452	418	389	787.9684324	814	820
ANXA2	47	121.0319034	81	42	63	157	123	216	189	116
ANXA3	334	578	321	271	221	188	335	1039	597	263
ANXA4	271	362.0963832	544.8430278	451	615	347	511.0430409	581	629	597
ANXA5	1047.082779	2552.049706	2322.167318	1397.760939	1615.915759	1518.774606	1968.909889	2718.796012	2790.035909	2699.042317
ANXA6	5533.76709	14081.24077	21236.26324	13598.08102	10874.63611	9396.022074	10408.84211	8456.861052	11303.84446	9194.256806
ANXA7	1874	3808.062363	5227.347032	3784.771559	3486.057034	3018.229731	2903.939436	3483.169194	4318.129469	3667.953315
ANXA11	1485.427537	2867.607461	3441.289245	2332.297136	1773.323605	1612	1729.300013	2073.344692	2939.434379	2770.652481
ANXA13	0	12	5	5	3	2	7	5	5	5
AOAH	167.0024919	284.4742104	175	181	220	210	237.3114087	358	245	303
AOC2	49	106	66	30	52	39	95	71	79	39
AOX1	68	176	137	160	141	145	133	221	191	205
APAF1	973	1707	1915	1290	1236	1233	1434	1621	1673	1490
NUDT2	162	376	410	384	316	269	216	321	398	325
APOF	5	5	7	1	2	2	5	3	3	5
APBA1	2276.925467	3872.823432	5324.830731	3461.330992	2257.605521	2488.643487	2953.765281	2621.658738	3158.806662	3317.804197
APBA2	3106	6184	8368	5596	4042	3470	4689	3917	4970	4966
APBB1	4534	9866	14503.60853	8624	6990	5978	7989	7532	8984	8021.593346
APBB2	1763.301595	4556.440683	4472.575581	2429.716457	3189.939069	2089.949344	3286.925813	3626.541551	4044.280617	3367.635939
APC	10509	19238	28900.85255	16914.35264	14281.00366	11770.00447	17450.02942	18678.01375	21450.02969	16821.34697
AIRE	45	20	18	43	31	23	23	29	38	66
APEH	1060.90441	2359.972851	3088.038742	1897	1321	1114	1570.980386	1485.941805	1844.990319	1627
APEX1	420	688	1068	786	539	550	607	791	839	745
BIRC2	849	1533.070465	2610.099622	1602.06262	1649.078498	1421.135705	1576.08342	1964.079628	1994	1607
BIRC3	70	453	265	124	240	251	207	329	214	239
XIAP	990.0032051	1808.641107	3319.632207	2244.399989	1823.872704	1834.865392	2047	2182	2356.268051	2170
BIRC5	0	10	7	5	8	4	7	9	6	4
APLP1	7570.909513	17460.75444	20724.13197	13648.08833	12441.94648	10156.95689	16882.85519	17098.61991	18996.62896	18215.12648
APLP2	7104.712223	12634.74981	19537.63372	13362.6308	10637.49119	9777.208779	11153.04682	10573.59764	14347.66989	11573.01291
APOA1	3	3	7	4	3	3	7	14	2	6
APOA2	0	4	1	3	0	0	1	0	0	0
APOB	37	51	113	76	62	102	60	56	41	95
APOC1	26	38	101	132	25	105.6004731	52	188.5169833	130	114
AQP8	6	4	9	9	8	2	3	6	7	13
APOC2	31	140	63	92	65	115	136	179	189	86
APOC4	1	0	2	0	1	0	1	2	4	0
APOD	2942	7811	4156	3545	4771	4173	5934	8048	6685	6720
APOE	4101	5487	9106	6354	4040	3735	4531	8003	9355	8423
APP	20848.58248	41827.65387	64807.92295	39716.86019	33700.8561	29293.67751	38129.98604	37548.71974	43157.36266	39228.41269
APRT	175	300.1752122	291.5531747	232.151759	155	185.9768198	249	319.7565226	377.6523173	342.6504723
FAS	303.8750619	382	489	192	353.9483656	317.037231	222	219	277.0297925	340
FASLG	0	1	0	0	0	0	0	2	1	1
SHROOM2	625	1032	1364	704	553	618	797	651	996	824
AQP1	997	2055	2191	1168	1824	1942	2230	4805	3608	2788
AQP2	0	1	1	0	0	1	0	0	1	0
AQP3	3	13	5	8	7	8	3	10	8	4
AQP4	15175	16592	25166	16771	25632	19419	24950	41063	45363	28260
AQP5	5	20	21	6	3	8	19	18	6	10
AQP6	12	60	36	27	20	13	26	37	46	25
AQP7	4	8	6	9	3	7	3	1	4	6
AQP9	53	94	85	122	56	84	108	98	65	83
AR	49	97	101	63	84	46	111	117	97	99
ABCC6	35	43	21	31	24	23	46	28	64	47
ARAF	308	641	482	360	409	335	474	512	551	505
ARCN1	1791	3583	4890.024537	3205	3147	2931.975709	3152	3268	3870	2912
TRIM23	1575	3517	6934.915934	3839.047386	3494	3087	3430	3283	3749.030064	3416.053198
AREG	0	0	0	2	0	1	0	0	0	0
ARF1	2332	4232	5978.507219	4349.638109	2769.999205	2748.94837	2989	3835.626733	4717	4435
ARF3	4121.270504	6694.687668	11672.97351	7499.594396	5237.307784	5132.685192	5213.445248	5854.207734	7090	6525.575983
ARF4	611.9931422	1007.234427	1970.255633	1286.963463	1135.228646	1124.202733	1163.795325	1405.042913	1632	1203.448738
ARL4D	46	81	337	103	89	83	49	57	102	98
ARF5	911	1839.995566	2808.977864	1843.942239	1200.262277	1226.071528	1178	1273.198778	1625.966046	1549.944535
ARF6	307	505	846	644	484	523	563	722	667	547
ARG1	3	10	21	39	12	17	18	23	25	13
ARG2	451	1066	1395	870	694	711	1080	912	861	679
RHOA	2055.957161	3888.948687	4889.956548	3423.922876	3233.55078	3018.845308	3339.518927	4658.983667	4914.937802	4378.932046
RHOB	1879	4232	4503	4919	2938	2743	3717	5070	4416	5035
RHOC	436	698	671	621	516	629	516	1222	1157	1296
RND3	182	179	527	257	163	251	199	312	275	173
RHOG	107	222	201	129	162	110	239	246	315	244
ARHGAP1	925	1506	1608	1367	1092	1166	1455	2066.051557	2180	1852
ARHGAP4	129	242	166.718009	246	125	168	170	222	343	333
ARHGAP5	8461	12223.19348	17812.08171	11097.96698	11933.11073	9528.327615	13998.51188	14657.10834	15639.18895	12965.33427
ARHGAP6	86	150	159	142	161	148	175	179	166	206
ARHGDIA	1250	2074	2891	2131	1374	1316	1668	1930	2357	2563
ARHGDIB	113	234	202	205	180	320	285	434	255	424
ARHGDIG	841	2078	3502	2096	1197	836	1231	1233	1190	1424
RHOH	5	10	4	2	2	1	4	2	8	8
ARL1	1203	2292.387411	3607.974566	2538.70092	2275	2086	1862	2171.919912	2641.703645	2246.628878
PHOX2A	2	1	0	2	0	3	4	1	0	1
ARL2	716	2004.737377	2269.322218	1289.014409	1201.831167	904.0013065	1284.075103	1454.939726	1716.794507	1380.526788
ARL3	795.8904244	1342.065775	1878.153869	1293.938613	1121.108306	1125.951233	1115.060884	1327.210334	1633.832391	1142.997085
ARNT	1000	2167.235607	2012	1308	1539	1267	1368	1664	1902	1573.961416
ARNTL	1085	2525.981687	2629.972457	1500.957051	1510.957682	1130	1852.969543	1603	1737	1227
ARR3	25	17	18	13	17	19	15	37	41	15
ARRB1	1718	3168.988248	3652.419714	2698.617624	1622.978955	1632.980698	2527	2572	2340.98524	2699.475129
ARRB2	624.0139507	1291.964788	1755.740941	1209.523425	810	735	1079	1000.016369	1034	976.804345
ARSA	362	648	599.9272026	433.7927365	301	276	468	479	565	605.5291779
ARSB	284	580	798.9046172	479	437	376	517	617	613	500
STS	1170	1526	3075	1614	1585	1323	1872	1275	1670	1294
ARSD	174	186	298	256	184	243	190	342	337	350
ARSE	36	43	56	38	25	30	75	37	51	44
ARSF	18	22	49	76	36	10	62	95	34	49
ART1	1	3	2	1	3	11	4	6	2	10
ART3	408	1048	521.8814494	331	451	506.8918919	444	407.0258965	720	512
ART4	6	12	11	18	15	20	9	14	12	10
ARVCF	541.0072103	790.0054681	1046.148132	563	518	529	647	687	813	1038.208758
ASAH1	1824.259748	4035.629608	5143.312872	3513.610123	4054.342987	3483.254771	3653.825798	4595.412455	4714.803571	4338.62948
ASCL1	196	254	334	176	179	135	232	275	221	294
ASCL2	1	8	3	1	2	1	5	3	0	4
ASGR1	49	87	105.5654497	94	62.01384035	68	102	68	108	79.66568627
ASGR2	4	14	6	6	14	9	11	5	4	19
ASIP	11	7	4	6	3	9	10	9	5	11
ASL	374	527.8181468	769.9025143	577	382	411.0051572	391.5195581	671.9115044	630.5076923	732
ASNA1	435	892	1417	867	665	595	697	757	812	831
ASNS	1302	2939	3638	2551.837765	2293	2067	2457	2013	2890	2239
ASPA	432	1358	2000	557	1297	978	1193	1462	1665	1313
ASPH	4257.943684	6971.532058	7405.414549	6157.826479	4825.993718	4855.915916	5473.98752	7478.61843	8881.987712	6459.772008
ASS1	308	711.9541476	856.8263881	633.0441045	400	627.9359719	498	722.0742705	702	592.7586602
ASTN1	5062	8074	12809	8749	5981	5595	6433	7316	7972	7222
SERPINC1	6	9	15	10	9	0	13	2	6	10
ZFHX3	655	1041	1033	713	562	646	974	1040	930	1184
ATF1	242	389	503	260	265	284	304	332	410	349
ATF3	27	123	153	65	134	32	59	97	142	111
ATF4	684	1969	1915	1387	1002	843	1358	1378	1433	1080
ATIC	811.058859	1137.765547	1296.935513	988.0287989	1027.884419	954.947297	1305	1415.009484	1788	1065
ATM	4469	9326.661516	9554.741977	5234.078652	7881.242662	6117.969897	9403.283707	8945.154979	9947.200409	8495.269164
RERE	5437.008783	9008	8572.970208	6159.916367	5264.972812	5695.988817	6491.231937	7267.211623	7717.974724	8471.790969
ATOX1	170	404	424	285	238	238	307	353	383	320
ATP1A1	11953.19693	28497.6148	40276.66776	28898.93685	20590.48651	21913.95196	26056.56974	19341	24584.99676	19170.03069
ATP1A2	28877	33117	45471	25793	21471	21990	32159	35113	44679	33533
ATP1A3	12104	24072	34881	25642	17274	15924	19930	16023	23668	19648
ATP12A	12	5	41	17	18	1	6	23	18	6
ATP1A4	1551	2261	2386	1329	1071	1018	1636	1692	2257	1836
ATP1B1	9079.10467	19766.93764	28898.53578	19128.56294	17188.24719	15996.52238	19556.7636	14862.57941	21776.51569	15501.36839
ATP1B2	3312	3332	5439	3161	2190	2714	3328	4716	8782	4101
ATP1B3	498	1243	1291	802	907	844	1136	886	1176	702
FXYD2	22	33	17	15	14	18	16	22	18	21
ATP2A1	70	74	58	51	30	29	54	61	62	48
ATP2A2	9041.149803	17054.38199	29748.25515	17644.88191	14041.54482	12493.68616	16294.02871	13727.39093	16560.26975	12775.07684
ATP2A3	42	63	66	42	16	38	37	47	43	105
ATP2B1	9753.867175	20266.75352	39695.117	22101.19812	17231.83285	15190.67868	16190.43538	15562.98131	17852.36681	14294.75502
ATP2B2	8053	15171	24272	15383	10386	9806	11715	10167	13763	11203
ATP2B3	1783	2856	3606.418297	3097.584098	1964.738318	1591.684092	2715	2153	2811.279163	2331.278195
ATP2B4	3650.252171	7960.856771	10385.53497	6732.554719	5416.873322	5492.076875	5890.91809	6903.516643	6772.805962	5942.09128
ATP4A	54	74	21	34	11	15	35	19	32	36
ATP4B	4	0	2	6	3	2	5	3	3	1
ATP5A1	6012.003677	14889.00175	23063.96539	14672.45725	12264.31424	11616.16599	10814.00561	10914.44229	14225.01002	10580.8611
ALDH7A1	774.807451	1034	1050	670	772.6807596	758	775	1086	1266	617
ATP5B	5306.500568	12832.79149	20140.90357	12669.68633	10864.31857	10152.23282	10713.60889	9540.378458	12623.92824	8717.508306
ATP5C1	1497.910625	3999.976594	6522.697348	3660.567272	3221.891938	2872	2727	3347.900967	3852.937019	2757.376543
ATP5D	450	945	924	551	454	385	588	619	767	643
ATP5E	1262	3275	2317	1468	2334	2168	2464	2734.51938	3074	1323
ATP5F1	1125	2415.78587	3516.799742	2200.345662	1911.059758	1701.090685	1763.029328	2197.258004	2501.367473	2110.462979
ATP5G1	474	976	1376.963897	745	662	597	652	734	869	595
ATP5G2	676	1268	1336	811	926	858	1082	1178	1311	1025
ATP5G3	663.3440215	1640.962619	2702.735261	1625.958584	1272.105842	1306.106317	1241.987931	1269.160624	1578.554843	1348.574034
ATP5I	1328	2559	3750.605948	2170.668047	1913	1658	2013	2626.933744	2448	2154.922393
ATP5J	395	949	1013	477	534	508	630	591	831	494
ATP6V1A	5736	12816	22517	15618	12632	11490	10674	10510	12482	10203
ATP6V1B1	26	34	17	32	22	8	22	43	44	22
ATP6V1B2	5872	13510	23640	15075	12580	12511	11011	9578	12244	10435
ATP6V0C	1044	1488	2076	1472	746	790	1151	1513	1768	2126
ATP6V1C1	4294	9539	16807	11257	9455	8781	8645	7871	9080	7494
ATP6V1E1	2715.454783	6217.119486	7701.371261	5175.220023	5389.278743	5087.652798	4545.816701	5105.809509	7098.880234	3857.315479
ATP6V0B	258	736	1069	549	415	358	599	472	557	499
ATP6V1G2	1791	3370	5695	3834	2497	2239	2453	2417	3097	2455
ATP6V0A1	7297.9186	14580.42793	20694.51864	13193.32621	10838.70787	9559.606921	11947.54846	10533.9795	12283.94928	10722.90763
ATP6AP1	1767	3543	5483	3501	2752	2884	2940	2983	3573	2966
ATP7A	292	598	716	479	590	580	523	695	723	588
ATP5O	1363.178704	3017.101112	4265.284908	2758.054955	2352.054388	2397.952759	2572.071325	2663.122455	3262.992016	2267.577217
ATP7B	601	687	746	511.8630601	401	396	628	664	650.8888889	662
ATR	2156.097553	3497.954412	4850.997973	3223	3161.078086	2692.004453	2805.024107	3980	4558.017667	3297
